	Topic_Num	Topic_Perc_Contrib	Keywords	Text
0	0.0	0.3698	달, 안녕, 카드, 밤, 날, 해외, 답, 보통, 값, 낮	일단 마이너스 통장 200만원 오늘 받았습니다. 그리고 달달이 카드값은 350정도 나가구요.(이번달카드값은 갚은 상태) 그러면 다음달에도 달달이 카드값이 나갈탠데 마통과 카드값중에 뭘 먼저 우선순위를 두고 갚아야하나요?  마통 연이자6프로  마통뚫은이유는 일급젠데 코로나때문에 몇일 일을 못나가데 돼서 카드값 갚을날이 도래돼어서 급히 빌렸습니다 일을 나가면 충분히 두달은에 갚을수잇음. 문의드립니다.
1	0.0	0.1987	달, 안녕, 카드, 밤, 날, 해외, 답, 보통, 값, 낮	안녕하세요.친구 조모상 연락을 받았는데요..보통 조부모상도 참석하나요?코로나 시국인지라 고민되네요..답변주시면 감사하겠습니다
2	0.0	0.1803	달, 안녕, 카드, 밤, 날, 해외, 답, 보통, 값, 낮	안녕하세요.요즘 유튜브를 보면 정말 많은 해외반응, 외국인반응 영상들이 올라옵니다.우리나라 사람들이 해외반응에 집착하는 이유가 무엇일까요?여전히 우리 국민들은 자존감이 낮은걸까요?답변주시면 감사하겠습니다~!
3	0.0	0.1629	달, 안녕, 카드, 밤, 날, 해외, 답, 보통, 값, 낮	어느순간   낮.밤이 바뀌어서 밤에 자기가 힘들어요밤에  잘 자는방법이 있을까요????낮에는 생활을 해야하는데  일어나면 두시.. 힘드네요ㅠ하루 자는걸 포기하고 밤까지 기다렸다 자야할까요?
4	0.0	0.1188	달, 안녕, 카드, 밤, 날, 해외, 답, 보통, 값, 낮	안녕하세요.저는 30대 남성인데요낮에는 항상 피곤하고 무기력한데저녁을 먹고난 이후부터는 점점 정신이 멀쩡해집니다..가급적 밤에 자고 아침, 오후에 활동하고 싶은데 쉽지가 않네요..심리적, 정신적인 문제일까요?답변주시면 감사하겠습니다.
5	0.0	0.0731	달, 안녕, 카드, 밤, 날, 해외, 답, 보통, 값, 낮	코피가 자주날때 섭취하면 좋은 음식이 있는지 궁금합니다.
6	0.0	0.069	달, 안녕, 카드, 밤, 날, 해외, 답, 보통, 값, 낮	회사특성상 영업(외근)직들이 귀사후 퇴근을 합니다.저는 내근직이지만, 외근직군들이 귀사하니 매일교체행ᆢ하는것이 맞을까요?
7	0.0	0.0476	달, 안녕, 카드, 밤, 날, 해외, 답, 보통, 값, 낮	코로나로 인하여 수입이 끊기게 되었습니다.직업상 많은 사람들을 만나야 되는데  만날수도 없을 뿐더러 저도 남들 만나기가 두렵습니다.모든것이 정지된 지금 상황으론 해결책이 없습니다.생활비를 생각하면 가슴이 답답합니다.이럴때는어떻게 해야 답답한 가슴이 시원해질까요?
8	1.0	0.2337	사태, 발생, 투자, 이번, 부동산, 전가, 거래, 거부, 최근, 와이프	부동산 투자가 처음인데. 아직 부동산을 매매하거나 할 수 있는 자금은 없습니다.다만, 부동산에 대한 관심이 많아서 조금이라도 투자를 배우는 형식으로 해보고싶은데 매매말고라도 소자본으로 시작할 수 있는 부동산 투자법이 있을까요?부동산 투자 전문가님들의 답변 기다리겠습니다.감사합니다.
9	1.0	0.1971	사태, 발생, 투자, 이번, 부동산, 전가, 거래, 거부, 최근, 와이프	요즘 부동산을 팔고 싶어도 거래가 안 되서 못 판다는 거래절벽 현상이 나타난다고 하는데요.거래절벽 현상이 나오면 지금 상황이 어떤 상황이고 앞으로 어떤 현상이 나타나는지 궁금합니다.
